id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1506042210244251649,1504899313415163909,2022-03-21 23:56:58 +01,2022-03-21,23:56:58,+0100,1106035116437049345,mjordanov28,Michaela Jordanov,,@mickter1 @Swifty46521535 Sending hope and love to the dear people of Ukraine 💗☺️,en,[],[],[],0,0,0,[],[],https://twitter.com/Mjordanov28/status/1506042210244251649,False,,0,,,,,,,,"[{'screen_name': 'mickter1', 'name': 'M.A. Gray', 'id': '393483329'}, {'screen_name': 'Swifty46521535', 'name': ""Lesley-Ann's💚 Nature,Art & 🎶 💙"", 'id': '1436806873425055747'}]",,,,
1506042209887424512,1506042209887424512,2022-03-21 23:56:58 +01,2022-03-21,23:56:58,+0100,626944196,drjmcurtis,John M. Curtis,, https://t.co/19Exr4ZDpq It's not OK for global stability for the U.S. to fund a proxy war against the Russian Federation.  Ukraine and Russia must resolve their problems without sucking all of Europe into WW III.  Ending the Ukraine must be the White House's top priority.,en,[],['http://OnlineColumnist.com'],[],0,0,0,[],[],https://twitter.com/drjmcurtis/status/1506042209887424512,False,,0,,,,,,,,[],,,,
1506042209434578952,1506042209434578952,2022-03-21 23:56:58 +01,2022-03-21,23:56:58,+0100,54066017,jorgeeickhoff,Georg Eickhoff,,"“The Kremlin likely seeks to bring Belarus into the war in Ukraine to reinforce Russian forces, but Belarusian President Lukashenko likely continues to resist Russian pressure.” — Russian Offensive Campaign Assessment, March 21   https://t.co/cJY40WRUKR",en,[],['https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-21'],[],0,0,0,[],[],https://twitter.com/JorgeEickhoff/status/1506042209434578952,False,,0,,,,,,,,[],,,,
1506042208377581568,1505928312740368388,2022-03-21 23:56:58 +01,2022-03-21,23:56:58,+0100,1098453488,jmuhd1,J.Muhammad,,@StandOnit1978 Ukraine who?  https://t.co/aCgx1caKnK,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FOaJZzlWQAI5wuy.jpg'],0,0,0,[],[],https://twitter.com/JMuhd1/status/1506042208377581568,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOaJZzlWQAI5wuy.jpg,,,,,,,"[{'screen_name': 'StandOnit1978', 'name': 'StandOnIt1978 F.B.A. 🇺🇸', 'id': '1452501350131109895'}]",,,,
1506042208088117250,1506013019184447494,2022-03-21 23:56:57 +01,2022-03-21,23:56:57,+0100,1295886643501637634,ronalddewey3,Ronald Dewey,,"@xmikeslb @Newsweek Putin was already attacking Ukraine ""separatist"" provinces while Trump was in office. Trump's response was to try and blackmail Zelensky for phony-baloney info on Hunter Biden. Trump is a coward, a liar, and a crook. Any Trump fan is a goddamn idiot.",en,[],[],[],0,0,0,[],[],https://twitter.com/RonaldDewey3/status/1506042208088117250,False,,0,,,,,,,,"[{'screen_name': 'xmikeslb', 'name': 'Xmikeslb', 'id': '1407387988628283408'}, {'screen_name': 'Newsweek', 'name': 'Newsweek', 'id': '2884771'}]",,,,
1506042206699888644,1505938618627637249,2022-03-21 23:56:57 +01,2022-03-21,23:56:57,+0100,4907026480,lionblogosphere,ライオン Lion,,"@NoahCarl90 Only one country is currently demolishing cities in Ukraine, which has been a peaceful non-terrorist country.",en,[],[],[],0,0,0,[],[],https://twitter.com/LionBlogosphere/status/1506042206699888644,False,,0,,,,,,,,"[{'screen_name': 'NoahCarl90', 'name': 'Noah Carl', 'id': '1123847711835471875'}]",,,,
1506042205558882304,1506042205558882304,2022-03-21 23:56:57 +01,2022-03-21,23:56:57,+0100,53531637,socalcoolidge,FreeYourMind,,Today's journalists aren't speaking truth to power by not-so-subtly agitating for direct military involvement in Ukraine.  https://t.co/wHbuJtaGEM via @reason,en,"[{'screen_name': 'reason', 'name': 'reason', 'id': '16467567'}]",['https://reason.com/2022/03/19/from-iraq-to-ukraine-the-american-press-loves-a-war/'],[],0,0,0,[],[],https://twitter.com/SoCalCoolidge/status/1506042205558882304,False,,0,,,,,,,,[],,,,
1506042205089239045,1505167477512327173,2022-03-21 23:56:57 +01,2022-03-21,23:56:57,+0100,1496907682732818434,guix70040452,Gui X,,"@alboyti @TRqueenofspades @Whitlad1 @mfa_russia @CIJ_ICJ Ukraine has never been Russian. There were 2 Ukraines in 20ies, the Gallician one and the cosack one. They were united by the Holodomor and the way they were used by Staline as cannon-fodder during WWII. In the 1950ies, Donbas population was partially susbtituted with 2M Russians",en,[],[],[],0,0,0,[],[],https://twitter.com/GuiX70040452/status/1506042205089239045,False,,0,,,,,,,,"[{'screen_name': 'alboyti', 'name': 'Atif AlJemaili AlHarbi', 'id': '374097225'}, {'screen_name': 'TRqueenofspades', 'name': '🇹🇷☀️GöLgE AnKa 𐰖𐱅𐰤🌙🇹🇷', 'id': '1485483830916141058'}, {'screen_name': 'Whitlad1', 'name': 'John H', 'id': '157449216'}, {'screen_name': 'mfa_russia', 'name': 'MFA Russia 🇷🇺', 'id': '255471924'}, {'screen_name': 'CIJ_ICJ', 'name': 'CIJ_ICJ', 'id': '4106204219'}]",,,,
1506042204841783298,1506030149636083716,2022-03-21 23:56:57 +01,2022-03-21,23:56:57,+0100,3852727096,ljsmith2016,LJ Smith,,@Ukraine @Kyiv Many of them! 💙💛,en,[],[],[],0,0,0,[],[],https://twitter.com/LJSmith2016/status/1506042204841783298,False,,0,,,,,,,,"[{'screen_name': 'Ukraine', 'name': 'Ukraine / Україна', 'id': '732521058507620356'}, {'screen_name': 'Kyiv', 'name': 'Kyiv. The City of Courage', 'id': '1499831533414371342'}]",,,,
1506042204640403459,1504125695139663872,2022-03-21 23:56:57 +01,2022-03-21,23:56:57,+0100,1499720755277410309,olyakalen,Olga,,"@VL_TBLNNK @JanisVitenbergs @RaivisDzintars @JanisIesalnieks @janisdombrava @RitvarsJansons1 @IIndriksone @KasparsGerhards @EdvardsRatnieks @Janis_Eglits Every day people die in Ukraine because of the war started by Russia. You know about it, but you continue to do business with Russia and sponsor this war. Stop that! Don't be an accomplice to genocide! Without getting your hands dirty in the blood of Ukrainians!  https://t.co/gRDSrvHlIW",en,[],[],"['https://pbs.twimg.com/media/FOaJZpcXsAog01S.jpg', 'https://pbs.twimg.com/media/FOaJZp2XoAUrJA1.jpg', 'https://pbs.twimg.com/media/FOaJZqDXwAYjXdL.jpg', 'https://pbs.twimg.com/media/FOaJZqkXIAU4nEz.jpg']",0,0,0,[],[],https://twitter.com/olyakalen/status/1506042204640403459,False,,1,https://pbs.twimg.com/media/FOaJZpcXsAog01S.jpg,,,,,,,"[{'screen_name': 'VL_TBLNNK', 'name': 'Nacionālā apvienība', 'id': '30717518'}, {'screen_name': 'JanisVitenbergs', 'name': 'Jānis Vitenbergs', 'id': '1247430670185566208'}, {'screen_name': 'RaivisDzintars', 'name': 'Raivis Dzintars', 'id': '150986158'}, {'screen_name': 'JanisIesalnieks', 'name': 'Jānis Iesalnieks 🇱🇻 #StandWithUkraine 🇺🇦', 'id': '26029694'}, {'screen_name': 'janisdombrava', 'name': 'Jānis Dombrava', 'id': '28656558'}, {'screen_name': 'RitvarsJansons1', 'name': 'Ritvars Jansons', 'id': '1415731158'}, {'screen_name': 'IIndriksone', 'name': 'Ilze Indriksone', 'id': '878603686645202947'}, {'screen_name': 'KasparsGerhards', 'name': 'Kaspars Gerhards', 'id': '2904961276'}, {'screen_name': 'EdvardsRatnieks', 'name': 'Edvards Ratnieks', 'id': '65708376'}, {'screen_name': 'Janis_Eglits', 'name': 'Janis Eglits', 'id': '88175938'}]",,,,
1506042203604504586,1505870597112299520,2022-03-21 23:56:56 +01,2022-03-21,23:56:56,+0100,1449453788188876805,bcorvo77,BaronCorvo77,,"@JamesFoulk11 @mtracey Ok, facts on the ground are Russia is going to get exactly what it wants in the Ukraine and the US can’t to anything about it except cry and impose sanctions (which have Putin at 80% approval in Russia, numbers Biden could only dream of)",en,[],[],[],0,0,0,[],[],https://twitter.com/BCorvo77/status/1506042203604504586,False,,0,,,,,,,,"[{'screen_name': 'JamesFoulk11', 'name': 'James Foulk', 'id': '1424785652097376260'}, {'screen_name': 'mtracey', 'name': 'Michael Tracey', 'id': '24127811'}]",,,,
1506042203512180739,1506042203512180739,2022-03-21 23:56:56 +01,2022-03-21,23:56:56,+0100,361582100,moyra_grant,Moyra Grant,,Re. BJ's 'Brexit = Ukraine' gibberish. I just cannot fathom why any Conservative minister or MP goes out to defend him any more; he trashes everything and everyone he goes near.,en,[],[],[],0,0,0,[],[],https://twitter.com/moyra_grant/status/1506042203512180739,False,https://twitter.com/LukeEdwardsTele/status/1506023302531272707,0,,,,,,,,[],,,,
1506042202836844555,1506042202836844555,2022-03-21 23:56:56 +01,2022-03-21,23:56:56,+0100,60861476,gowdav,David Gow,,#Ukraine is singing God Save the Queen as its soldiers fire bazookas acc @OliverDowden to @AndrewMarr9 - maybe the Pistols version…,en,"[{'screen_name': 'oliverdowden', 'name': 'oliver dowden', 'id': '1172535926209298432'}, {'screen_name': 'andrewmarr9', 'name': 'andrew marr', 'id': '3162521825'}]",[],[],0,0,0,['ukraine'],[],https://twitter.com/gowdav/status/1506042202836844555,False,,0,,,,,,,,[],,,,
1506042200953659398,1506042200953659398,2022-03-21 23:56:56 +01,2022-03-21,23:56:56,+0100,1486537972853923843,rebellynn83,Rebel Lynn,,"Are any democrats offering their 20,000 sq ft 8M dollar homes to #Ukraine refugees?",en,[],[],[],0,0,0,['ukraine'],[],https://twitter.com/rebellynn83/status/1506042200953659398,False,,0,,,,,,,,[],,,,
1506042199833669632,1506042199833669632,2022-03-21 23:56:56 +01,2022-03-21,23:56:56,+0100,1184012880032751617,terri66987597,Terri,,Nursing community expresses solidarity with nurses in Ukraine  https://t.co/N2vHVmXBT0,en,[],['https://www.nursingtimes.net/news/global-nursing/nursing-community-expresses-solidarity-with-nurses-in-ukraine-25-02-2022/'],[],0,0,0,[],[],https://twitter.com/Terri66987597/status/1506042199833669632,False,,0,,,,,,,,[],,,,
1506042199288561667,1505665491234443268,2022-03-21 23:56:55 +01,2022-03-21,23:56:55,+0100,1065959074586607616,tommymarcum,Lord Tommy Marcum Esq.,,@bwohlgemuth @LPNH @dwatts26726 Ukraine has been killing Russian speaking ukrainian citizens for years.  Do you expect Russia to just sit there while Ukraine murders countless citizens?.  There's alot to this story not being told.  Both countries are corrupt and both need to deal with it on their own,en,[],[],[],0,0,0,[],[],https://twitter.com/TommyMarcum/status/1506042199288561667,False,,0,,,,,,,,"[{'screen_name': 'bwohlgemuth', 'name': 'Brian Wohlgemuth', 'id': '12123752'}, {'screen_name': 'LPNH', 'name': 'Libertarian Party NH', 'id': '80611812'}, {'screen_name': 'dwatts26726', 'name': 'Dana Watts', 'id': '76484796'}]",,,,
1506042198525198338,1505976017965494277,2022-03-21 23:56:55 +01,2022-03-21,23:56:55,+0100,78966655,globalmacrozen,GlobalMacroZen,,This actually means that #Putin is facing some internal opposition in #Russia from some powerful people about #Ukraine,en,[],[],[],0,0,0,"['putin', 'russia', 'ukraine']",[],https://twitter.com/GlobalMacroZen/status/1506042198525198338,False,,0,,,,,,,,[],,,,
1506042198395076611,1506035556504985603,2022-03-21 23:56:55 +01,2022-03-21,23:56:55,+0100,1081008601513320449,amakamonee,billy.,,@survivingdaniel @Ore_akiinde ahhh they should just come and take him to ukraine,en,[],[],[],0,0,0,[],[],https://twitter.com/amakamonee/status/1506042198395076611,False,,0,,,,,,,,"[{'screen_name': 'survivingdaniel', 'name': 'Surviving Daniel Emeka', 'id': '1506000119245721600'}, {'screen_name': 'Ore_akiinde', 'name': 'Crochet Creator 🧶', 'id': '729374311878922240'}]",,,,
1506042196432076800,1506042196432076800,2022-03-21 23:56:55 +01,2022-03-21,23:56:55,+0100,1425503583739449357,brazil_office,Brazil Office,,Brazil’s Bolsonaro uses Russia’s Ukraine invasion to justify exploiting Indigenous land in Amazon - The Washington Post  https://t.co/OHdqJdAv2D,en,[],['https://www.washingtonpost.com/world/2022/03/19/brazil-bolsonaro-mining-amazon-russia-ukraine/'],[],0,0,0,[],[],https://twitter.com/Brazil_Office/status/1506042196432076800,False,,0,,,,,,,,[],,,,
